,Hero,Entry,Move,Weapon,HP,Atk,Spd,Def,Res,Total,Link,Color,Version,Book,ReleaseDate
339,Ephraim: Dynastic Duo,The Sacred Stones,Infantry,Blue Lance,41,39,30,37,25,172,https://feheroes.fandom.com/wiki/Ephraim:_Dynastic_Duo,Blue,3.11,3,2019-11-07
340,Ephraim: Legendary Lord,The Sacred Stones,Cavalry,Blue Lance,43,36,27,33,18,157,https://feheroes.fandom.com/wiki/Ephraim:_Legendary_Lord,Blue,2.2,2,2018-02-28
341,Ephraim: Restoration Lord,The Sacred Stones,Infantry,Blue Lance,45,35,25,32,20,157,https://feheroes.fandom.com/wiki/Ephraim:_Restoration_Lord,Blue,1.0,1,2017-02-15
342,Ephraim: Sacred Twin Lord,The Sacred Stones,Armored,Green Axe,46,38,27,37,26,174,https://feheroes.fandom.com/wiki/Ephraim:_Sacred_Twin_Lord,Green,2.8,2,2018-08-21
343,Ephraim: Sparkling Gallantly,The Sacred Stones,Armored,Blue Lance,45,41,23,36,29,174,https://feheroes.fandom.com/wiki/Ephraim:_Sparkling_Gallantly,Blue,3.0,3,2018-12-18
344,Ephraim: Sunshine Valiant,The Sacred Stones,Cavalry,Green Axe,41,47,16,44,31,179,https://feheroes.fandom.com/wiki/Ephraim:_Sunshine_Valiant,Green,7.6,7,2023-06-19
345,Eremiya: Bishop of Woe,Shadow Dragon / (New) Mystery,Infantry,Colorless Staff,44,32,35,23,27,161,https://feheroes.fandom.com/wiki/Eremiya:_Bishop_of_Woe,Colorless,4.7,4,2020-07-21
346,Erinys: Earnest Knight,Genealogy of the Holy War,Flying,Blue Lance,39,37,41,32,23,172,https://feheroes.fandom.com/wiki/Erinys:_Earnest_Knight,Blue,5.2,5,2021-02-16
347,Erk: Studious Mage,The Blazing Blade,Infantry,Red Tome,45,35,39,19,27,165,https://feheroes.fandom.com/wiki/Erk:_Studious_Mage,Red,5.4,5,2021-04-06
348,Est: Junior Whitewing,Shadow Dragon / (New) Mystery,Flying,Blue Lance,36,35,30,24,32,157,https://feheroes.fandom.com/wiki/Est:_Junior_Whitewing,Blue,1.0,1,2017-02-02
349,Est: Springtime Flier,Shadow Dragon / (New) Mystery,Flying,Blue Tome,39,38,35,17,26,155,https://feheroes.fandom.com/wiki/Est:_Springtime_Flier,Blue,4.3,4,2020-03-18
350,Est: Sweet Baby Sis,Echoes,Flying,Blue Lance,35,41,38,25,37,176,https://feheroes.fandom.com/wiki/Est:_Sweet_Baby_Sis,Blue,6.7,6,2022-07-19
351,Ethlyn: Glimmering Lady,Genealogy of the Holy War,Flying,Colorless Dagger,37,36,41,16,28,158,https://feheroes.fandom.com/wiki/Ethlyn:_Glimmering_Lady,Colorless,4.9,4,2020-09-08
352,Ethlyn: Spirited Princess,Genealogy of the Holy War,Cavalry,Colorless Staff,38,28,34,26,20,146,https://feheroes.fandom.com/wiki/Ethlyn:_Spirited_Princess,Colorless,2.9,2,2018-09-11
353,Etie: Fitness Fighter,Engage,Infantry,Colorless Bow,40,45,40,30,28,183,https://feheroes.fandom.com/wiki/Etie:_Fitness_Fighter,Colorless,7.1,7,2023-01-17
354,Ewan: Eager Student,The Sacred Stones,Infantry,Red Tome,38,37,33,23,35,166,https://feheroes.fandom.com/wiki/Ewan:_Eager_Student,Red,3.11,3,2019-11-07
355,Excellus: Conqueror’s Wile,Awakening,Infantry,Red Tome,42,47,21,31,47,188,https://feheroes.fandom.com/wiki/Excellus:_Conqueror%E2%80%99s_Wile,Red,9.6,9,2025-06-07
356,Eyvel: Mistress of Fiana,Thracia 776,Infantry,Red Sword,41,33,35,38,25,172,https://feheroes.fandom.com/wiki/Eyvel:_Mistress_of_Fiana,Red,4.0,4,2019-12-06
357,Fae: Childlike Dragon,The Binding Blade,Infantry,Blue Breath,40,42,28,37,41,188,https://feheroes.fandom.com/wiki/Fae:_Childlike_Dragon,Blue,5.1,5,2021-10-29
358,Fae: Divine Dragon,The Binding Blade,Infantry,Green Breath,46,33,28,25,30,162,https://feheroes.fandom.com/wiki/Fae:_Divine_Dragon,Green,1.0,1,2017-02-02
359,Fae: Holiday Dear,The Binding Blade,Armored,Green Breath,45,35,26,33,41,180,https://feheroes.fandom.com/wiki/Fae:_Holiday_Dear,Green,3.0,3,2018-12-18
360,Fáfnir: Fresh Ambition,Heroes,Cavalry,Red Dagger,40,43,39,31,16,169,https://feheroes.fandom.com/wiki/F%C3%A1fnir:_Fresh_Ambition,Red,6.0,6,2022-01-01
361,Fáfnir: King of Desolation,Heroes,Cavalry,Blue Lance,40,48,47,37,18,190,https://feheroes.fandom.com/wiki/F%C3%A1fnir:_King_of_Desolation,Blue,9.5,9,2025-05-08
362,Fargus: Badon Buccaneer,The Blazing Blade,Infantry,Green Axe,43,47,31,40,32,193,https://feheroes.fandom.com/wiki/Fargus:_Badon_Buccaneer,Green,7.11,7,2023-11-18
363,Farina: The Great Wing,The Blazing Blade,Flying,Blue Lance,39,36,38,30,30,173,https://feheroes.fandom.com/wiki/Farina:_The_Great_Wing,Blue,5.4,5,2021-04-06
364,Faye: Devoted Heart,Echoes,Infantry,Colorless Bow,42,30,25,26,31,154,https://feheroes.fandom.com/wiki/Faye:_Devoted_Heart,Colorless,1.2,1,2017-04-14
365,Faye: Drawn Heartstring,Echoes,Armored,Colorless Bow,43,40,23,35,38,179,https://feheroes.fandom.com/wiki/Faye:_Drawn_Heartstring,Colorless,4.2,4,2020-02-06
366,Febail: Mercenary Waif,Genealogy of the Holy War,Infantry,Blue Bow,40,46,45,26,31,188,https://feheroes.fandom.com/wiki/Febail:_Mercenary_Waif,Blue,7.9,7,2023-09-15
367,Fee: Aspiring Knight,Genealogy of the Holy War,Flying,Red Sword,37,40,45,26,40,188,https://feheroes.fandom.com/wiki/Fee:_Aspiring_Knight,Red,7.9,7,2023-09-15
368,Felicia: Confidently Cold,Fates,Cavalry,Green Axe,41,43,47,35,24,190,https://feheroes.fandom.com/wiki/Felicia:_Confidently_Cold,Green,8.9,8,2024-09-06
369,Felicia: Maid Mayhem,Fates,Infantry,Colorless Dagger,34,23,37,18,35,147,https://feheroes.fandom.com/wiki/Felicia:_Maid_Mayhem,Colorless,1.0,1,2017-02-02
370,Felicia: Off the Menu,Fates,Armored,Green Axe,43,30,37,30,35,175,https://feheroes.fandom.com/wiki/Felicia:_Off_the_Menu,Green,3.4,3,2019-04-19
371,Felix: Icy Gift Giver,Three Houses,Armored,Blue Bow,44,38,37,32,29,180,https://feheroes.fandom.com/wiki/Felix:_Icy_Gift_Giver,Blue,5.0,5,2020-12-18
372,Felix: Lone-Wolf Blade,Three Houses,Infantry,Red Sword,40,46,46,31,25,188,https://feheroes.fandom.com/wiki/Felix:_Lone-Wolf_Blade,Red,7.4,7,2023-04-17
373,Felix: Savant's Service,Three Houses,Infantry,Blue Lance,41,47,48,38,24,198,https://feheroes.fandom.com/wiki/Felix:_Savant%27s_Service,Blue,9.8,9,2025-08-07
374,Felix: Sword Savant,Three Houses,Infantry,Red Sword,40,47,48,35,29,199,https://feheroes.fandom.com/wiki/Felix:_Sword_Savant,Red,8.8,8,2024-08-16
375,Ferdinand: Highborn Sipper,Three Houses,Flying,Green Tome,40,42,45,21,25,173,https://feheroes.fandom.com/wiki/Ferdinand:_Highborn_Sipper,Green,7.8,7,2023-08-08
376,Ferdinand: Noblest of Nobles,Three Houses,Cavalry,Blue Lance,41,32,35,30,24,162,https://feheroes.fandom.com/wiki/Ferdinand:_Noblest_of_Nobles,Blue,4.3,4,2020-03-06
377,Fernand: Traitorous Knight,Echoes,Cavalry,Blue Lance,45,41,26,32,23,167,https://feheroes.fandom.com/wiki/Fernand:_Traitorous_Knight,Blue,5.6,5,2021-06-09
378,Finn: Devoted Service,Thracia 776,Cavalry,Red Sword,40,48,46,37,19,190,https://feheroes.fandom.com/wiki/Finn:_Devoted_Service,Red,9.8,9,2025-08-07
379,Finn: Lance of Legend,Thracia 776,Cavalry,Blue Lance,40,34,33,32,18,157,https://feheroes.fandom.com/wiki/Finn:_Lance_of_Legend,Blue,2.4,2,2018-04-21
380,Fiora: Airborne Warrior,The Blazing Blade,Flying,Blue Lance,38,32,38,21,37,166,https://feheroes.fandom.com/wiki/Fiora:_Airborne_Warrior,Blue,4.2,4,2020-02-17
381,Fiora: Defrosted Ilian,The Blazing Blade,Flying,Red Sword,40,32,37,26,28,163,https://feheroes.fandom.com/wiki/Fiora:_Defrosted_Ilian,Red,3.7,3,2019-07-12
382,Fir: Dual Warriors,The Binding Blade,Cavalry,Red Sword,40,46,49,35,25,195,https://feheroes.fandom.com/wiki/Fir:_Dual_Warriors,Red,9.9,9,2025-09-05
383,Fir: Student of Spring,The Binding Blade,Flying,Green Axe,39,35,41,28,24,167,https://feheroes.fandom.com/wiki/Fir:_Student_of_Spring,Green,4.3,4,2020-03-18
384,Fir: Sword Student,The Binding Blade,Infantry,Red Sword,41,25,36,24,31,157,https://feheroes.fandom.com/wiki/Fir:_Sword_Student,Red,1.0,1,2017-02-02
385,Fir: Swordmaiden,The Binding Blade,Infantry,Red Sword,42,44,46,34,21,187,https://feheroes.fandom.com/wiki/Fir:_Swordmaiden,Red,7.6,7,2023-06-08
386,Fjorm: Bride of Rime,Heroes,Flying,Colorless Staff,42,34,34,17,23,150,https://feheroes.fandom.com/wiki/Fjorm:_Bride_of_Rime,Colorless,3.5,3,2019-05-21
387,Fjorm: Gleaming Ice Pair,Heroes,Armored,Blue Lance,43,42,47,35,40,207,https://feheroes.fandom.com/wiki/Fjorm:_Gleaming_Ice_Pair,Blue,8.9,8,2024-09-06
388,Fjorm: Ice Ascendant,Heroes,Armored,Green Axe,43,39,41,31,36,190,https://feheroes.fandom.com/wiki/Fjorm:_Ice_Ascendant,Green,5.1,5,2021-10-18
389,Fjorm: New Traditions,Heroes,Flying,Green Bow,39,35,35,20,21,150,https://feheroes.fandom.com/wiki/Fjorm:_New_Traditions,Green,3.0,3,2019-01-01
390,Fjorm: Princess of Ice,Heroes,Infantry,Blue Lance,39,30,31,30,34,164,https://feheroes.fandom.com/wiki/Fjorm:_Princess_of_Ice,Blue,2.0,2,2017-11-28
391,Fjorm: Seaside Thaw,Heroes,Infantry,Red Sword,43,43,46,28,28,188,https://feheroes.fandom.com/wiki/Fjorm:_Seaside_Thaw,Red,7.7,7,2023-07-07
392,Flame Emperor: Bringer of War,Three Houses,Armored,Green Axe,50,40,25,37,26,178,https://feheroes.fandom.com/wiki/Flame_Emperor:_Bringer_of_War,Green,4.3,4,2020-03-09
393,Flavia: Bold Bride,Awakening,Cavalry,Red Sword,41,44,45,31,18,179,https://feheroes.fandom.com/wiki/Flavia:_Bold_Bride,Red,7.5,7,2023-05-19
394,Flavia: Feroxi East-Khan,Awakening,Infantry,Red Sword,41,40,41,36,23,181,https://feheroes.fandom.com/wiki/Flavia:_Feroxi_East-Khan,Red,6.0,6,2021-12-07
395,Flayn: Playing Innocent,Three Houses,Flying,Colorless Staff,40,39,27,21,35,162,https://feheroes.fandom.com/wiki/Flayn:_Playing_Innocent,Colorless,4.1,4,2020-10-19
396,Flayn: Silly Kitty-Cat,Three Houses,Cavalry,Colorless Staff,38,46,26,18,46,174,https://feheroes.fandom.com/wiki/Flayn:_Silly_Kitty-Cat,Colorless,7.1,7,2023-10-05
397,Flora: Cold as Ice,Fates,Infantry,Red Dagger,38,34,23,18,38,151,https://feheroes.fandom.com/wiki/Flora:_Cold_as_Ice,Red,2.9,2,2018-09-14
398,Flora: Polar-Perfect,Fates,Cavalry,Colorless Dagger,40,47,21,31,46,185,https://feheroes.fandom.com/wiki/Flora:_Polar-Perfect,Colorless,8.9,8,2024-09-06
399,Flora: Signature Dish,Fates,Armored,Red Dagger,43,38,22,29,38,170,https://feheroes.fandom.com/wiki/Flora:_Signature_Dish,Red,3.4,3,2019-04-19
400,Florina: Azure-Sky Knight,The Blazing Blade,Flying,Colorless Bow,39,37,43,22,31,172,https://feheroes.fandom.com/wiki/Florina:_Azure-Sky_Knight,Colorless,6.6,6,2022-06-08
401,Florina: Lovely Flier,The Blazing Blade,Flying,Blue Lance,42,29,27,25,34,157,https://feheroes.fandom.com/wiki/Florina:_Lovely_Flier,Blue,1.0,1,2017-02-02
402,Fogado: Affable Prince,Engage,Cavalry,Green Bow,38,45,47,25,30,185,https://feheroes.fandom.com/wiki/Fogado:_Affable_Prince,Green,8.9,8,2024-09-17
403,Fogado: Summer of Bliss,Engage,Cavalry,Colorless Dagger,39,45,47,26,28,185,https://feheroes.fandom.com/wiki/Fogado:_Summer_of_Bliss,Colorless,9.6,9,2025-06-17
404,Fomortiis: Dark of Night,The Sacred Stones,Armored,Red Beast,49,47,16,49,46,207,https://feheroes.fandom.com/wiki/Fomortiis:_Dark_of_Night,Red,9.0,9,2024-12-13
405,Fomortiis: Demon King,The Sacred Stones,Armored,Colorless Beast,46,44,15,46,44,195,https://feheroes.fandom.com/wiki/Fomortiis:_Demon_King,Colorless,7.1,7,2023-01-27
406,Forde: Unfettered Knight,The Sacred Stones,Cavalry,Red Sword,40,45,45,37,18,185,https://feheroes.fandom.com/wiki/Forde:_Unfettered_Knight,Red,8.7,8,2024-07-16
407,Forrest: Fashion Forward,Fates,Cavalry,Colorless Staff,39,32,26,19,35,151,https://feheroes.fandom.com/wiki/Forrest:_Fashion_Forward,Colorless,4.4,4,2020-04-08
408,Forsyth: Loyal Lieutenant,Echoes,Armored,Blue Lance,47,40,20,39,33,179,https://feheroes.fandom.com/wiki/Forsyth:_Loyal_Lieutenant,Blue,3.1,3,2019-10-21
409,Framme: Spring Fangirl,Engage,Infantry,Green Axe,45,41,46,30,31,193,https://feheroes.fandom.com/wiki/Framme:_Spring_Fangirl,Green,8.3,8,2024-03-07
410,Frederick: Horizon Watcher,Awakening,Infantry,Colorless Dagger,40,32,31,28,18,149,https://feheroes.fandom.com/wiki/Frederick:_Horizon_Watcher,Colorless,1.4,1,2017-06-30
411,Frederick: Polite Knight,Awakening,Cavalry,Green Axe,43,35,25,36,14,153,https://feheroes.fandom.com/wiki/Frederick:_Polite_Knight,Green,1.0,1,2017-02-02
412,Frederick: Youth in Service,Awakening,Cavalry,Green Axe,41,46,28,47,23,185,https://feheroes.fandom.com/wiki/Frederick:_Youth_in_Service,Green,8.4,8,2024-04-05
413,Freyja: Fleeting Summer,Heroes,Cavalry,Colorless Beast,40,39,43,25,20,167,https://feheroes.fandom.com/wiki/Freyja:_Fleeting_Summer,Colorless,5.7,5,2021-07-07
414,Freyja: Lady of Nightmare,Heroes,Cavalry,Green Beast,40,38,44,24,22,168,https://feheroes.fandom.com/wiki/Freyja:_Lady_of_Nightmare,Green,4.11,4,2020-11-27
415,Freyja: Parallel Hearts,Heroes,Infantry,Colorless Tome,40,47,49,30,28,194,https://feheroes.fandom.com/wiki/Freyja:_Parallel_Hearts,Colorless,9.1,9,2025-10-07
416,Freyr: Dream-King,Heroes,Cavalry,Blue Beast,41,46,16,41,35,179,https://feheroes.fandom.com/wiki/Freyr:_Dream-King,Blue,7.7,7,2023-07-28
417,Freyr: Estival Dreams,Heroes,Cavalry,Red Beast,41,38,16,38,35,168,https://feheroes.fandom.com/wiki/Freyr:_Estival_Dreams,Red,5.7,5,2021-07-07
418,Fuga: Force of Gales,Fates,Infantry,Green Axe,42,46,30,45,30,193,https://feheroes.fandom.com/wiki/Fuga:_Force_of_Gales,Green,7.9,7,2023-09-07
419,Gaius: Candy Stealer,Awakening,Infantry,Colorless Dagger,42,29,36,22,19,148,https://feheroes.fandom.com/wiki/Gaius:_Candy_Stealer,Colorless,1.0,1,2017-02-02
420,Gaius: Thief Exposed,Awakening,Infantry,Colorless Bow,34,30,37,19,28,148,https://feheroes.fandom.com/wiki/Gaius:_Thief_Exposed,Colorless,1.4,1,2017-06-30
421,Galle: Azure Rider,The Binding Blade,Flying,Blue Lance,46,38,22,38,28,172,https://feheroes.fandom.com/wiki/Galle:_Azure_Rider,Blue,4.11,4,2020-11-18
422,Galzus: Dark Blade of Od,Thracia 776,Infantry,Red Sword,40,43,41,36,22,182,https://feheroes.fandom.com/wiki/Galzus:_Dark_Blade_of_Od,Red,6.3,6,2022-03-18
423,Ganglöt: Death Anew,Heroes,Infantry,Green Axe,40,44,30,38,35,187,https://feheroes.fandom.com/wiki/Gangl%C3%B6t:_Death_Anew,Green,6.11,6,2022-11-18
424,Gangrel: Plegia's Mad King,Awakening,Infantry,Colorless Dagger,45,32,38,24,27,166,https://feheroes.fandom.com/wiki/Gangrel:_Plegia%27s_Mad_King,Colorless,4.6,4,2020-06-06
425,Garon: King of Nohr,Fates,Infantry,Red Breath,43,33,22,33,32,163,https://feheroes.fandom.com/wiki/Garon:_King_of_Nohr,Red,2.9,2,2018-09-20
426,Gatekeeper: Nothing to Report,Three Houses,Infantry,Green Tome,41,37,17,40,36,171,https://feheroes.fandom.com/wiki/Gatekeeper:_Nothing_to_Report,Green,5.8,5,2021-08-17
427,Gatrie: Armored Amour,Path of Radiance,Armored,Blue Lance,47,42,17,44,35,185,https://feheroes.fandom.com/wiki/Gatrie:_Armored_Amour,Blue,4.9,4,2020-09-18
428,Geese: A Life at Sea,The Binding Blade,Infantry,Blue Lance,46,38,35,32,21,172,https://feheroes.fandom.com/wiki/Geese:_A_Life_at_Sea,Blue,4.8,4,2020-08-07
429,Genny: Dressed with Care,Echoes,Cavalry,Colorless Staff,35,36,24,14,34,143,https://feheroes.fandom.com/wiki/Genny:_Dressed_with_Care,Colorless,3.4,3,2019-04-19
430,Genny: Endearing Ally,Echoes,Infantry,Colorless Staff,32,35,25,21,34,147,https://feheroes.fandom.com/wiki/Genny:_Endearing_Ally,Colorless,1.3,1,2017-05-15
431,Geoffrey: Realm's Protector,Radiant Dawn,Cavalry,Blue Lance,40,46,40,29,25,180,https://feheroes.fandom.com/wiki/Geoffrey:_Realm%27s_Protector,Blue,7.2,7,2023-02-17
432,Gerik: Desert Tiger,The Sacred Stones,Infantry,Green Axe,47,37,36,30,22,172,https://feheroes.fandom.com/wiki/Gerik:_Desert_Tiger,Green,3.11,3,2019-11-07
433,Gerome: Masked Rider,Awakening,Flying,Green Axe,45,38,25,34,19,161,https://feheroes.fandom.com/wiki/Gerome:_Masked_Rider,Green,2.3,2,2018-03-15
434,Gharnef: Dark Pontifex,Shadow Dragon / (New) Mystery,Infantry,Red Tome,38,30,34,27,23,152,https://feheroes.fandom.com/wiki/Gharnef:_Dark_Pontifex,Red,2.11,2,2018-11-23
435,Gilliam: Wall of Silence,The Sacred Stones,Armored,Blue Lance,47,44,21,48,35,195,https://feheroes.fandom.com/wiki/Gilliam:_Wall_of_Silence,Blue,7.3,7,2023-03-17
436,Ginnungagap: Ruler of Nihility,Heroes,Cavalry,Colorless Dagger,40,47,31,30,32,180,https://feheroes.fandom.com/wiki/Ginnungagap:_Ruler_of_Nihility,Colorless,7.11,7,2023-11-17
437,Glen: Sunstone,The Sacred Stones,Flying,Red Sword,43,45,34,47,20,189,https://feheroes.fandom.com/wiki/Glen:_Sunstone,Red,8.7,8,2024-07-17
438,Goldmary: Coy Beach Divas,Three Houses,Infantry,Blue Lance,40,44,46,47,16,193,https://feheroes.fandom.com/wiki/Goldmary:_Coy_Beach_Divas,Blue,8.7,8,2024-07-05
439,Gonzalez: Kindly Bandit,The Binding Blade,Infantry,Green Axe,50,42,35,33,21,181,https://feheroes.fandom.com/wiki/Gonzalez:_Kindly_Bandit,Green,6.2,6,2022-02-19
440,Gordin: Altean Archer,Shadow Dragon / (New) Mystery,Infantry,Colorless Bow,43,31,25,32,17,148,https://feheroes.fandom.com/wiki/Gordin:_Altean_Archer,Colorless,1.0,1,2017-02-02
441,Gotoh: Apostle of Naga,Shadow Dragon / (New) Mystery,Infantry,Red Tome,40,48,16,36,48,188,https://feheroes.fandom.com/wiki/Gotoh:_Apostle_of_Naga,Red,9.4,9,2025-04-15
442,Gotoh: White Sage,Shadow Dragon / (New) Mystery,Infantry,Colorless Tome,40,42,14,38,42,176,https://feheroes.fandom.com/wiki/Gotoh:_White_Sage,Colorless,7.1,7,2023-01-27
443,Gray: Wry Comrade,Echoes,Infantry,Red Sword,43,35,32,30,22,162,https://feheroes.fandom.com/wiki/Gray:_Wry_Comrade,Red,1.5,1,2017-07-13
444,Gregor: Swell Sword,Awakening,Infantry,Red Sword,40,44,37,43,23,187,https://feheroes.fandom.com/wiki/Gregor:_Swell_Sword,Red,6.1,6,2022-10-17
445,Greil: Heroic Exemplar,Path of Radiance,Armored,Green Axe,47,41,18,38,30,174,https://feheroes.fandom.com/wiki/Greil:_Heroic_Exemplar,Green,3.2,3,2019-02-08
446,Grima: Tyrant of Despair,Awakening,Armored,Colorless Breath,48,48,18,45,48,207,https://feheroes.fandom.com/wiki/Grima:_Tyrant_of_Despair,Colorless,9.6,9,2025-06-06
447,Grima: Tyrant of Ruin,Awakening,Armored,Blue Breath,47,49,18,46,47,207,https://feheroes.fandom.com/wiki/Grima:_Tyrant_of_Ruin,Blue,9.6,9,2025-06-06
448,Griss: Indulging Pain,Engage,Infantry,Green Tome,40,47,27,26,48,188,https://feheroes.fandom.com/wiki/Griss:_Indulging_Pain,Green,9.2,9,2025-02-18
449,Guinivere: Princess of Bern,The Binding Blade,Infantry,Blue Tome,36,35,40,16,38,165,https://feheroes.fandom.com/wiki/Guinivere:_Princess_of_Bern,Blue,4.11,4,2020-11-17
450,Guinivere: Queen of Bern,The Binding Blade,Infantry,Colorless Tome,37,39,45,16,40,177,https://feheroes.fandom.com/wiki/Guinivere:_Queen_of_Bern,Colorless,7.6,7,2023-06-30
451,Gullveig: Glittering Sunlight,Heroes,Cavalry,Red Tome,40,46,47,24,17,174,https://feheroes.fandom.com/wiki/Gullveig:_Glittering_Sunlight,Red,8.6,8,2024-06-17
452,Gullveig: Golden Seer,Heroes,Cavalry,Colorless Tome,37,45,47,27,18,174,https://feheroes.fandom.com/wiki/Gullveig:_Golden_Seer,Colorless,7.11,7,2023-11-29
453,Gullveig: Seer Beyond Time,Heroes,Flying,Blue Tome,40,45,47,27,19,178,https://feheroes.fandom.com/wiki/Gullveig:_Seer_Beyond_Time,Blue,7.8,7,2023-08-16
454,Gunnthrá: Beaming Smile,Heroes,Cavalry,Colorless Dagger,39,33,37,17,24,150,https://feheroes.fandom.com/wiki/Gunnthr%C3%A1:_Beaming_Smile,Colorless,3.6,3,2019-06-20
455,Gunnthrá: Voice of Dreams,Heroes,Cavalry,Green Tome,37,31,33,19,25,145,https://feheroes.fandom.com/wiki/Gunnthr%C3%A1:_Voice_of_Dreams,Green,2.0,2,2017-12-28
456,Gunnthrá: Year's First Dream,Heroes,Flying,Red Sword,38,34,37,27,26,162,https://feheroes.fandom.com/wiki/Gunnthr%C3%A1:_Year%27s_First_Dream,Red,3.0,3,2019-01-01
457,Gunter: Inveterate Soldier,Fates,Cavalry,Green Axe,43,32,24,33,18,150,https://feheroes.fandom.com/wiki/Gunter:_Inveterate_Soldier,Green,1.0,1,2017-02-02
458,Gustav: Majestic Love,Heroes,Armored,Green Axe,49,41,18,46,31,185,https://feheroes.fandom.com/wiki/Gustav:_Majestic_Love,Green,5.2,5,2021-02-05
459,Gustav: Sovereign Slain,Heroes,Cavalry,Green Axe,40,41,25,38,30,174,https://feheroes.fandom.com/wiki/Gustav:_Sovereign_Slain,Green,6.5,6,2022-05-10
460,Guy: Kutolah Blade,The Blazing Blade,Infantry,Red Sword,44,37,43,33,25,182,https://feheroes.fandom.com/wiki/Guy:_Kutolah_Blade,Red,6.6,6,2022-06-08
461,Gwendolyn: Adorable Knight,The Binding Blade,Armored,Blue Lance,49,30,24,38,28,169,https://feheroes.fandom.com/wiki/Gwendolyn:_Adorable_Knight,Blue,1.0,1,2017-02-02
462,Haar: Black Tempest,Radiant Dawn,Flying,Green Axe,45,37,25,36,18,161,https://feheroes.fandom.com/wiki/Haar:_Black_Tempest,Green,3.4,3,2019-04-11
463,Haar: Tempest Runner,Radiant Dawn,Flying,Red Sword,44,42,24,44,28,182,https://feheroes.fandom.com/wiki/Haar:_Tempest_Runner,Red,6.11,6,2022-11-08
464,Haitaka: Persistent General,Fates,Infantry,Blue Lance,43,48,46,38,28,203,https://feheroes.fandom.com/wiki/Haitaka:_Persistent_General,Blue,9.9,9,2025-09-17
465,Hana: Focused Ninja,Fates,Infantry,Green Axe,42,36,40,28,30,176,https://feheroes.fandom.com/wiki/Hana:_Focused_Ninja,Green,4.11,4,2020-11-07
466,Hana: Focused Samurai,Fates,Infantry,Red Sword,37,35,36,23,26,157,https://feheroes.fandom.com/wiki/Hana:_Focused_Samurai,Red,1.0,1,2017-02-02
467,Hana: Striving Heart,Fates,Armored,Red Sword,40,42,46,41,27,196,https://feheroes.fandom.com/wiki/Hana:_Striving_Heart,Red,7.2,7,2023-02-07
468,Hans: Ambitious Brute,Fates,Infantry,Green Axe,46,45,39,35,21,186,https://feheroes.fandom.com/wiki/Hans:_Ambitious_Brute,Green,7.0,7,2022-12-08
469,Hapi: Drawn-Out Sigh,Three Houses,Cavalry,Blue Tome,40,42,26,16,39,163,https://feheroes.fandom.com/wiki/Hapi:_Drawn-Out_Sigh,Blue,5.9,5,2021-09-17
470,Hapi: Eternal Sunlit Pair,Three Houses,Flying,Blue Tome,45,48,46,17,28,184,https://feheroes.fandom.com/wiki/Hapi:_Eternal_Sunlit_Pair,Blue,9.7,9,2025-07-08
471,Hardin: Dark Emperor,Shadow Dragon / (New) Mystery,Armored,Blue Lance,45,34,28,36,32,175,https://feheroes.fandom.com/wiki/Hardin:_Dark_Emperor,Blue,2.2,2,2018-02-22
472,Hardin: The Coyote,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,41,41,44,32,21,179,https://feheroes.fandom.com/wiki/Hardin:_The_Coyote,Blue,6.11,6,2022-11-18
473,Harken: Troubled Warrior,The Blazing Blade,Infantry,Red Sword,41,46,32,46,27,192,https://feheroes.fandom.com/wiki/Harken:_Troubled_Warrior,Red,7.11,7,2023-11-17
474,Hawkeye: Desert Guardian,The Blazing Blade,Infantry,Green Axe,45,33,22,28,30,158,https://feheroes.fandom.com/wiki/Hawkeye:_Desert_Guardian,Green,1.0,1,2017-02-02
475,Hawkeye: Taciturn Guardian,The Blazing Blade,Infantry,Blue Lance,45,47,22,41,38,193,https://feheroes.fandom.com/wiki/Hawkeye:_Taciturn_Guardian,Blue,8.1,8,2024-01-19
476,Hayato: Diviner of Reppu,Fates,Infantry,Red Tome,39,43,45,24,31,182,https://feheroes.fandom.com/wiki/Hayato:_Diviner_of_Reppu,Red,8.4,8,2024-04-15
477,Heath: Wandering Knight,The Blazing Blade,Flying,Blue Lance,40,35,33,33,27,168,https://feheroes.fandom.com/wiki/Heath:_Wandering_Knight,Blue,4.2,4,2020-02-17
478,Heath: Wyvern Ninja,The Blazing Blade,Flying,Colorless Bow,42,43,23,40,30,178,https://feheroes.fandom.com/wiki/Heath:_Wyvern_Ninja,Colorless,6.11,6,2022-11-08
479,Heather: Wandering Ninja,Radiant Dawn,Infantry,Green Dagger,41,42,47,27,30,187,https://feheroes.fandom.com/wiki/Heather:_Wandering_Ninja,Green,7.11,7,2023-11-07
480,Hector: Brave Warrior,The Blazing Blade,Armored,Blue Lance,48,37,22,39,28,174,https://feheroes.fandom.com/wiki/Hector:_Brave_Warrior,Blue,2.8,2,2018-08-21
481,Hector: Dressed-Up Duo,The Blazing Blade,Armored,Red Sword,47,41,26,39,27,180,https://feheroes.fandom.com/wiki/Hector:_Dressed-Up_Duo,Red,3.1,3,2019-10-09
482,Hector: General of Ostia,The Blazing Blade,Armored,Green Axe,52,36,24,37,19,168,https://feheroes.fandom.com/wiki/Hector:_General_of_Ostia,Green,1.0,1,2017-02-02
